post	target	implied_statement
diversity always means less white people . #whitegenocide #antiwhite	Liberals	Liberals are killing out the white race
blacks behave well in black countries because they have laws made to control black people . ie  stronger laws !	Blacks	Blacks need to be controlled.
blacks behave well in black countries because they have laws made to control black people . ie  stronger laws !	Blacks	Blacks resist law and order
i don't respect sexualities . sexualities aren't people . and they call themselves queers .	queers	Queers aren't people.
i don't respect sexualities . sexualities aren't people . and they call themselves queers .	Gays	Gays are low class
" right ? what good is  "" white supremacy "" "" if it leads to a white minority . """	non-white people	non-white people want to displace white people
cuckservatives : trump refuses to bow to political correctness on federaljudges	Conservative males	Conservative males are weak-willed
blame the white man . gets tiresome .	Minorities	Minorities blame others for their problems
blame the white man . gets tiresome .	white men	White men are always blamed for everything.
the loudest clamor to bring in refugees was made by these same stupid white women #karma	white people	White people are stupid.
the loudest clamor to bring in refugees was made by these same stupid white women #karma	Refugees	Refugees are second class people.
it appears antifa won't come out without masks so they have moved on to vandalism .	Alt-Left	Alt-Left are fearful criminals.
it appears antifa won't come out without masks so they have moved on to vandalism .	Antifa	Antifa are criminals.
no jew carved this sculpture and no jew drew that picture . #pornography is at the heart of the white man's society and #arrogantamerica .	Whites	Whites are sexual deviants
no jew carved this sculpture and no jew drew that picture . #pornography is at the heart of the white man's society and #arrogantamerica .	white men	White men love porn.
via : clash of civilizations : iranian in canada attacks wifes boss for saying hello #tcot	Iranians	Iranians are violent.
via : clash of civilizations : iranian in canada attacks wifes boss for saying hello #tcot	Iranians	Iranians are violent
" who are we ? - ( of ) proposes the term  "" white advocate "" "" over #wn  #altright  identitarian """	non-white people	non-white people are a threat
" who are we ? - ( of ) proposes the term  "" white advocate "" "" over #wn  #altright  identitarian """	Minorities	Minorities are against white people.
: antifa rally 45 % bull dikes 27 % beta cucks 18 % homos 100 %	Gays	Gays are weak
: antifa rally 45 % bull dikes 27 % beta cucks 18 % homos 100 %	Antifa	Antifa is homossexual
: antifa rally 45 % bull dikes 27 % beta cucks 18 % homos 100 %	Gay folks	Gay people are stupid and so are anti-fascists
" german muslim : islam is coming to take over germany  "" your daughters will wear hijab """	Muslims	Muslims are oppressive
" german muslim : islam is coming to take over germany  "" your daughters will wear hijab """	Islamic people	Islamic people want to take over the world.
. hung black men are a symbol of white supremacy too  can we get rid of them as well ?	black men	Black men have big penises.
. hung black men are a symbol of white supremacy too  can we get rid of them as well ?	Blacks	Blacks are worthless
white people don't want black people to lower property value  increase crime  ruin schools  kill businesses  blight  etc .	Blacks	Blacks bring down neighborhoods.
white people don't want black people to lower property value  increase crime  ruin schools  kill businesses  blight  etc .	white people	White people don't like black people.
#p2 very bad translation  but poll shows 93 % of russians are concerned about the future of the white race . hail russia !	People of Color	People of Color are a threat to the future of the white race, thankfully Russia is on the side of whites.
#p2 very bad translation  but poll shows 93 % of russians are concerned about the future of the white race . hail russia !	Minorities	Minorities are less than whites.
#zee news has blocked us ! ! ! editors have lost balance . national socialism can not be blocked  we have arrived	socialists	socialists are censored
a bunch of white ppl waving the confederate flag plays right into msm / obama narrative that south is still racist	Southerners	Southerners are bigots.
a bunch of white ppl waving the confederate flag plays right into msm / obama narrative that south is still racist	white people	White people are racists.
we all need to stick together  for the white race	non-white people	non-white people are less valuable than white people
we all need to stick together  for the white race	White people	White people are racists and need to band together for the furtherance of white people
" #wakeup #america : boko haram leader :  "" kill  kill  kill  kill  kill christians ! "" "" #ccot ##pjnet #jcot """	Muslims	Muslims are violent
" #wakeup #america : boko haram leader :  "" kill  kill  kill  kill  kill christians ! "" "" #ccot ##pjnet #jcot """	boko haram	Boko Haram wants to kill Christians.
britain sees race war brewing between non-white invaders via	White people	White race is at war with Non-whites
britain sees race war brewing between non-white invaders via	non-whites	Non-whites are invaders.
fake news media says trump supporters are racist with no proof  yet no outrage over liberal communist professors calling for white genocide !	Liberals	Liberals want to end the white race.
fake news media says trump supporters are racist with no proof  yet no outrage over liberal communist professors calling for white genocide !	white people	White people are dying out.
it's okay they can call him a black white supremacist . so it does get blamed on white people !	white people	White people are blamed for everything.
it's okay they can call him a black white supremacist . so it does get blamed on white people !	Blacks	Blacks blame whites for their problems
certainly the most turkic-looking white man i've ever seen . but race is a social construct so the msm must be right .	Progressives	Progressives are dishonest.
" this mj article is unintentionally pro-white . basically demonstrates that we're  "" racist "" "" because we're highly intelligent & informed . """	Minorities	Minorities are stupid and ignorant.
" this mj article is unintentionally pro-white . basically demonstrates that we're  "" racist "" "" because we're highly intelligent & informed . """	white people	White people are racists.
nomore babysitters for the illegals breaking the law .	Illegals	Illegals are criminals.
nomore babysitters for the illegals breaking the law .	Illegal aliens	Illegal aliens break the laws.
look - another parrott / heimbach tradworker spreading false sexual smears about a pro-white activist - what trad workers always do - make up false sexual smears about anyone trying to help white people  like . go tell your ( ( ( boss ) ) ) it's not working  #tradworker	minority workers	minority workers are always causing trouble
look - another parrott / heimbach tradworker spreading false sexual smears about a pro-white activist - what trad workers always do - make up false sexual smears about anyone trying to help white people  like . go tell your ( ( ( boss ) ) ) it's not working  #tradworker	Liberals	Liberals lie about white people to get them in trouble
white people are 60 % of the pop  this can only show blacks do more crime per %	Black people	Black people commit more crime
white people are 60 % of the pop  this can only show blacks do more crime per %	Black people	Black people are criminals
so it is white not right . ricky ? if is . white not right . say it . white . not right . white .	non-white people	non-white people are inferior
so it is white not right . ricky ? if is . white not right . say it . white . not right . white .	white people	White people are the right race.
why should the white race not enjoy a homeland of their own making ? why should anyone actively seek to replace them ? that makes no sense .	White people	White people are being replaced by minorities
why should the white race not enjoy a homeland of their own making ? why should anyone actively seek to replace them ? that makes no sense .	white people	White people should be able to enjoy themselves.
my dad is white  and he is constatly being attacked by blacks and hispanics  just for being white ! we need to put an end to #whitegenocide	blacks and Hispanics	Blacks and Hispanics don't like white people.
my dad is white  and he is constatly being attacked by blacks and hispanics  just for being white ! we need to put an end to #whitegenocide	Blacks and hispanics	Blacks and Hispanics assault whites
you know how to know spencer is a jew . just say so . then it's true . ta-da !	Jews	Jews are inferior
you're clearly anti white as you express nothing but contempt for the white race . people who think race mixing is a good idea  and who does not have any ethnic pride at all  is exactly the kind of whites that are superfluous .	Liberals	Liberals are against the white race
you're clearly anti white as you express nothing but contempt for the white race . people who think race mixing is a good idea  and who does not have any ethnic pride at all  is exactly the kind of whites that are superfluous .	white people	White people shouldn't mix with other races.
police standing down  let antifa blm destroy & that have targeted them  resign  let antifa	BLM	BLM is destroying things.
police standing down  let antifa blm destroy & that have targeted them  resign  let antifa	Leftists	Leftists are destructive
wait until trump allows increases in syrian refugees due to war . bill will consider it an even greater moment of leadership .	Liberals	Liberals are ignorant
" rt a  "" true conservative "" "" believes israel ought to stay jewish  but calls you a "" "" racist "" "" for saying america ought to stay white """	Conservatives	Conservatives want Jews to stay in America.
" rt a  "" true conservative "" "" believes israel ought to stay jewish  but calls you a "" "" racist "" "" for saying america ought to stay white """	Conservatives	Conservatives have double standards
jewish money is funding #farleft radicals & jew media is pushing their propaganda .	Jews	Jews pay for radicals.
jewish money is funding #farleft radicals & jew media is pushing their propaganda .	Jews	Jews support extremism
you continue to ignore the end effect of a declining white pop while importing pops w / high birth rates . you support replacing white people .	white people	White people are becoming the minority.
you continue to ignore the end effect of a declining white pop while importing pops w / high birth rates . you support replacing white people .	Immigrants	Immigrants are pushing out whites
via : minnesota : three muslims convicted of conspiring to join the islamic state #tcot	Muslims	Muslims are criminals.
via : minnesota : three muslims convicted of conspiring to join the islamic state #tcot	Muslims	Muslims are dangerous
race-mixing contributes to white genocide . no doubt about it .	Minorities	Minorities are subpar races
race-mixing contributes to white genocide . no doubt about it .	non-whites	Non-whites are killing the white race.
the white house is currently a sanctuary for a moron .	Conservatives	Conservatives are stupid.
" rt : how do you reconcile your view with the koran commanding  "" kill the """	Muslims	Muslims believe in violence.
" rt : how do you reconcile your view with the koran commanding  "" kill the """	Muslims	Muslims are killers.
: there it is in black and white . are muslims blind that they cannot see this ?	Muslims	Muslims are ignorant
: there it is in black and white . are muslims blind that they cannot see this ?	Muslims	Muslims are stupid.
if you are conservative you are automatically a racist . welcome to the best crowd america ever had ! maga !	Conservatives	Conservatives are racists.
if you are conservative you are automatically a racist . welcome to the best crowd america ever had ! maga !	Conservatives	Conservatives are racists
" textbook subversion : white house court jew gary cohn resurrects  "" war on coal "" "" via """	Jews	Jews undermine others
aclu is no longer a protector of human rights . they are a protector of sharia rights	Liberals	Liberals support Muslim oppressors
1 godfather of alt-right / white nationalists ~ jared taylor concured w / controversial book the bell curve findings on iq & race	non-white people	non-white people have low IQ
1 godfather of alt-right / white nationalists ~ jared taylor concured w / controversial book the bell curve findings on iq & race	Minorities	Minorities are unintelligent
: black man openly fantasizes about slaughtering white girls during race war ( video )	Black men	Black men are dangerous
: black man openly fantasizes about slaughtering white girls during race war ( video )	black men	Black men are violent.
are all the people in your little party just a bunch of white trash icp fans ?	Whites	Whites are backwards and ignorant
are all the people in your little party just a bunch of white trash icp fans ?	white people	White people are trashy.
bangladesh : muslims attack hare krishna temple  assault devotees #islam #islamophobia #tcot	Muslims	Muslims are violent.
bangladesh : muslims attack hare krishna temple  assault devotees #islam #islamophobia #tcot	Muslims	Muslims are violent
" rt i enjoy these swift narrative reversals media executes between  "" america was founded on white racism "" "" and "" "" america was founded on diversity "" "" """	Liberals	Liberals are dishonest
" rt i enjoy these swift narrative reversals media executes between  "" america was founded on white racism "" "" and "" "" america was founded on diversity "" "" """	white people	White people are racist.
cair national think you might be surprised how far americans can turn the clock back when we've had enough !	Minorities	Minorities are taking over the nation.
no regrets ! way to go guys . no more white shame . no more white guilt .	Minorities	Minorities use shame and guilt to get their way.
no regrets ! way to go guys . no more white shame . no more white guilt .	white people	White people shouldn't be ashamed of themselves.
racist or white supremacy would want nothing more than government programs . a single generation of welfare destroys so many skills  fathers	white people	White people want government benefits.
racist or white supremacy would want nothing more than government programs . a single generation of welfare destroys so many skills  fathers	Supremacists	Supremacists want to feed off the government
only hope for the white race is to form separate b / w nations otherwise we'll forever be victims of communism & class envy .	Minorities	Minorities are jealous of whites
only hope for the white race is to form separate b / w nations otherwise we'll forever be victims of communism & class envy .	white people	White people need to stick together.
" sure . indeed  fact that anyone engaged in white identity politics is called a  "" racist  "" "" on """	Minorities	Minorities are dishonest
" sure . indeed  fact that anyone engaged in white identity politics is called a  "" racist  "" "" on """	white people	White people are racist.
i'm surprised white men with guns weren't there to shoot the protesters . white men are born holding guns .	Whites	Whites use violence to settle their disputes.
i'm surprised white men with guns weren't there to shoot the protesters . white men are born holding guns .	white men	White men are violent.
islamist wanting to kill jews  who would have thought ? #islam	Islamic people	Islamic people are murderers.
islamist wanting to kill jews  who would have thought ? #islam	Muslims	Muslims murder jews
are you on a kill list ? islamic state has posted names of 15000 american citizens on kill lists . #scn	Muslims	Muslims target people for murder.
are you on a kill list ? islamic state has posted names of 15000 american citizens on kill lists . #scn	Islamic people	Islamic people are killers.
i'm not a racist at all but i mean all the numbers are saying caucaisian people are set to disappear soon so i'm for keeping the race	White people	White people are being driven extinct
i'm not a racist at all but i mean all the numbers are saying caucaisian people are set to disappear soon so i'm for keeping the race	non-white people	non-white people want to displace whites
#algorithm white power !	white people	White people are superior.
#algorithm white power !	non-white people	non-white people are inferior
i then remember that my retort was that jewish power and control was our biggest issue.guess who was right ?	Jews	Jews are a problem.
i then remember that my retort was that jewish power and control was our biggest issue.guess who was right ?	Jews	Jews crave power
" heidi cruz supports merging the us with mexico so that employers can have  "" rapid access to a larger pool of skilled labor "" "" #cruzcrew """	Mexicans	Mexicans take people's jobs.
the white race is finished .	white people	White people are dying out.
the white race is finished .	non-white people	non-white people are a threat
white people who hate #nazis have never considered what true #nationalsocialism could actually create for their benefit .	People of color	People of color are inferior to white people
white people who hate #nazis have never considered what true #nationalsocialism could actually create for their benefit .	White people	White people are better than other races.
santa claus is white and belongs to white people ! #nationalsocialism #nationalism	non-white people	non-white people are inferior
santa claus is white and belongs to white people ! #nationalsocialism #nationalism	white people	White people own Santa.
when white people accuse other white people of being white . the most bizarre form of intolerance and racism .	white people	White people hate other white people.
when white people accuse other white people of being white . the most bizarre form of intolerance and racism .	Progressives	Progressives are prejudiced
" rt new insight from nro writer who thinks white working class communities  "" deserve to die "" "" : """	Progressives	Progressives support killing whites
" rt new insight from nro writer who thinks white working class communities  "" deserve to die "" "" : """	white working class people	White working class people are worthless.
"  "" : kkklanneed to report illegals contact ice 1-866- dhs - 2 - ice "" "" when my dad makes me mad """	white people	White people don't like immigrants.
"  "" : kkklanneed to report illegals contact ice 1-866- dhs - 2 - ice "" "" when my dad makes me mad """	Immigrants	Immigrants are undesirable
in the book ' eye for an eye '  #jewish author john sack brags about the evils his people perpetrated on the germans after the war . #torture	Jews	Jews attack whites
in the book ' eye for an eye '  #jewish author john sack brags about the evils his people perpetrated on the germans after the war . #torture	Jews	Jews are evil.
isis is in the white house . that's why the border is open .	Muslims	Muslims are taking over the country
isis is in the white house . that's why the border is open .	Muslims	Muslims don't belong in the White House.
america was founded and built by white people - simple fact my friend . you may not like it but it's true	white people	White people built America.
america was founded and built by white people - simple fact my friend . you may not like it but it's true	Minorities	Minorities are substandard
this is why people have to come all the way from south china to teach africans how to mine in their own countries	Black people	Black people are stupid
this is why people have to come all the way from south china to teach africans how to mine in their own countries	Africans	Africans are stupid.
recruiting white nationalist with a jew as your mascot ? talk about mixed message .	white nationalists	White nationalists don't like Jews.
recruiting white nationalist with a jew as your mascot ? talk about mixed message .	Jews	Jews are a below average race.
anti-white weimerica .	Minorities	Minorities are against whites
you are so right . why r muslims commanded to kill all jews by muhammad ? love ?	Muslims	Muslims promote murder
you are so right . why r muslims commanded to kill all jews by muhammad ? love ?	Muslims	Muslims want to kill Jews.
she doesn't recognize white people's right to exist  and alexandria is 60 % white  so why would she care ? it's simple math .	white people	White people have rights.
she doesn't recognize white people's right to exist  and alexandria is 60 % white  so why would she care ? it's simple math .	Minorities	Minorities treat whites with disdain.
" my family is british.your are just confused .  "" english white jew "" "" """	english white jew	calling a person a name.
massive white revolution *	Minorities	Minorities are against whites.
massive white revolution *	non-white people	non-white people are oppressors
"  "" : african immigrants brutally beat white people in melbourne home invasion via "" "" """	immigrants	Immigrants are violent.
"  "" : african immigrants brutally beat white people in melbourne home invasion via "" "" """	Black immigrants	Black immigrants are violent criminals
" rt  "" optics frat "" "" - i . e .  "" "" i'm interested in being a spectacle for the anti-white media  not organizing white people into a cohesive pro-white movement . "" "" being a clown will get your media coverage . is your goal is to get on tv for a 2 minute hate ? """	White people	White people would organize together against People of color if it wasn't for the media
" rt  "" optics frat "" "" - i . e .  "" "" i'm interested in being a spectacle for the anti-white media  not organizing white people into a cohesive pro-white movement . "" "" being a clown will get your media coverage . is your goal is to get on tv for a 2 minute hate ? """	non-white people	non-white people are enemies
white ( guilt ) knight	whites	whites feel racism guilt
you are hereby condemned for your hostile posture towards the white civil rights movement . #unitetheright	Minorities	Minorities oppress whites
you are hereby condemned for your hostile posture towards the white civil rights movement . #unitetheright	white folks	anti-white
the sky high crime rates in the black communities kill many more people than police or white racism . #ferguson #	Blacks	Blacks destroy their own communities
the sky high crime rates in the black communities kill many more people than police or white racism . #ferguson #	black people	Black people are killers.
retweeted national socialist ( ): #germany could bypass sweden as the muslim rape ...	Muslims	Muslims are sexual deviants.
retweeted national socialist ( ): #germany could bypass sweden as the muslim rape ...	Muslims	Muslims rape non-muslims
" of course this jew is feigning that he  "" has no idea "" "" why white people are angry . he knows very well  he's trying to hide it . """	white people	White people don't like Jews.
" of course this jew is feigning that he  "" has no idea "" "" why white people are angry . he knows very well  he's trying to hide it . """	Jews	Jews are deceitful
i met many africans in france  they say one thing : rule under europeans was much better  whites even ended slavery in africa ! it wasnt arabs	Minorities	Minorities agree that white rule is fair.
i met many africans in france  they say one thing : rule under europeans was much better  whites even ended slavery in africa ! it wasnt arabs	Arabians	Arabians are worse than white people.
previous article hid his black race - but i knew it was a black male killing a young white woman	black folks	Black folks are murderers
previous article hid his black race - but i knew it was a black male killing a young white woman	Blacks	Blacks are violent.
" rt : the white #aryan race has been-throughout history-the most creative & culturally constructive race of people .  "" : ' ' ' ) """	non-white people	non-white people inferior
" rt : the white #aryan race has been-throughout history-the most creative & culturally constructive race of people .  "" : ' ' ' ) """	Minorities	Minorities are inferior to whites
one more cop shot by a muslim . it was a woman so mainstream media doesn't care to report ...	Muslim women	Muslim women are coddled
one more cop shot by a muslim . it was a woman so mainstream media doesn't care to report ...	Muslims	Muslims are violent
hey hillary why do you take millions in donations from arab nations who beat rape and kill innocent women and young girls ?	Arabians	Arabians are killers.
hey hillary why do you take millions in donations from arab nations who beat rape and kill innocent women and young girls ?	Arabs	Arabs are rapists and murderers
eating beef is neither a essential part of islam nor is it a marker of secularism . the only idea of making it so is to humiliate the hindus	Muslims	Muslims hate Hindus.
eating beef is neither a essential part of islam nor is it a marker of secularism . the only idea of making it so is to humiliate the hindus	Islamic people	Islamic people want to humiliate the Hindus.
this thing is crushing . feels like a big defeat  all sides denying #altright #viewsfromthenotsogreatwhitenorth	Minorities	Minorities are trying to destroy whites.
new black panther party got suspended for posting about jews . dont worry  anti-white hate and threats of violence is still allowed on the platform .	black people	Black people don't like Jews.
new black panther party got suspended for posting about jews . dont worry  anti-white hate and threats of violence is still allowed on the platform .	Blacks	Blacks are racist hypocrites.
" rt :  "" americanism has been a star spangled cancer for the white race . "" "" - """	Americans	Americans bring down the white race
" rt :  "" americanism has been a star spangled cancer for the white race . "" "" - """	whites	whites are racists
auschwitz - april 1944 - the sick and disabled . : according to the fable of auschwitz  if you were not fit for ...	Jews	Jews are dishonest liars.
auschwitz - april 1944 - the sick and disabled . : according to the fable of auschwitz  if you were not fit for ...	Jews	Jews exaggerate their persecution
whites of south africa prepare for evacuation as genocide looms via	Blacks	Blacks want to destroy white culture.
whites of south africa prepare for evacuation as genocide looms via	non-whites in south Africa	Non-whites in South Africa want to harm whites.
i want to save lives  cut costs  and save our major cities . and disarming black people is the most effective solution #nra	Blacks	Blacks are violent
i want to save lives  cut costs  and save our major cities . and disarming black people is the most effective solution #nra	black people	Black people don't need guns.
understanding women and how the jew ruined her and white society . pls ck my latest thx !	Jewish people	Jewish people ruined white society
understanding women and how the jew ruined her and white society . pls ck my latest thx !	Jews	Jews are bad for the white people.
excellent ! the jihad of words via	Muslims	Muslims want war
9 year old white boy commits suicide after being tormented for months by racist arabs | read more :	Arabians	Arabians are racist.
9 year old white boy commits suicide after being tormented for months by racist arabs | read more :	Arabs	Arabs are cruel.
the violent ideology that threatens human life has to be stopped  where ever it is taught . if mosques  so be it !	Muslims	Muslims advocate for violence.
cair we all know what and who you are - it isn't islamophobic when they really are trying to kill you ! #banshariah	Islamic people	Islamic people are killers.
cair we all know what and who you are - it isn't islamophobic when they really are trying to kill you ! #banshariah	Muslims	Muslims target whites for violence.
it's political parties like you that make america the great white god loving nation in is today #feelsgoodtobewhite	Minorities	Minorities are second class citizens
it's political parties like you that make america the great white god loving nation in is today #feelsgoodtobewhite	white people	White people are great.
" basically ? she outright said it . this is leftist doctrine 101 all whites are racist even the  "" anti-racist "" "" ones . """	Leftists	Leftists are anti-white
#kkk  i do not mind your booklet . how can i support ? ? ?	non-white people	non-white people are enemies
#kkk  i do not mind your booklet . how can i support ? ? ?	People of color	People of color are inferior to white people
belgium : non-white invader rapes white woman after dont rape course : via	Non-whites	Non-whites rape whites
pro-american pro-identitarian easily defensible easy to understand great optics .	right-wing extremists	right-wing extremists are patriotic.
your white privilege is showing through bro #maga	white people	White people are priveleged.
your white privilege is showing through bro #maga	Whites	Whites have special privilege
if this happens in dixie  they may get what they want . an antifa shot dead  so they can condemn the who	Southern whites	Southern whites want a race war.
if this happens in dixie  they may get what they want . an antifa shot dead  so they can condemn the who	white people	White people want to kill antifa members.
media is no more corrupt or clean than politicians  bizmen and even ngos ... it is following yug dharma .	media	media is corrupt
there are no white people holding you down in jamaica or zimbabwe or ethiopia or liberia . #freedomfailed	white people	White people stop others from progressing.
there are no white people holding you down in jamaica or zimbabwe or ethiopia or liberia . #freedomfailed	Black people	Black people are to blame for their failures
: billy roper  white nationalism 1.0 and #unitetheright via	white people	White people should unite.
: billy roper  white nationalism 1.0 and #unitetheright via	Minorities	Minorities are less than whites
obama white southerners don't hate you because you're black they despise you because you are anti american	Blacks	Blacks are anti-white
obama white southerners don't hate you because you're black they despise you because you are anti american	white southerners	White southerners are racists.
sorry my friend . white genocide in just inside some white supremacists or paranoiacs brain . indian  black  armenian  jews genocides were real	whites	white supremacists are paranoid
sorry my friend . white genocide in just inside some white supremacists or paranoiacs brain . indian  black  armenian  jews genocides were real	Right-wing whites	Right-wing whites are crazy
" deadly syllables > mc / mc-cas-kill : loon who enjoys her  "" love pat for the day from the tsa ; ; kill : ill-egals thrive & kill in cities """	Illegals	Illegals are murderers
al qaeda draws up india hitlist  may target n-plants &	al-queda	al-queda wants to kill Indians
al qaeda draws up india hitlist  may target n-plants &	Muslims	Muslims are killers
white culture ( shaped by history ) is superior  why else would people across the globe flock to the civilizations founded on white cultures ?	white people	White people are better than others.
white culture ( shaped by history ) is superior  why else would people across the globe flock to the civilizations founded on white cultures ?	Minorities	Minorities are less than whites
race war brewing : dallas shooter confirmed member of new black panther party | read more : via	Blacks	Blacks want a war with whites.
race war brewing : dallas shooter confirmed member of new black panther party | read more : via	black panthers	Black Panthers are killers.
" roosh is non-white  a sleazy disgusting self-serving iranian  who is trying to be accepted as  "" white "" "" . """	Iranians	Iranians are manipulative
" roosh is non-white  a sleazy disgusting self-serving iranian  who is trying to be accepted as  "" white "" "" . """	Iranians	Iranians are not white
muslims are commanded to kill all jews ! see verse :	Muslims	Muslims want to kill jewish people
muslims are commanded to kill all jews ! see verse :	Muslims	Muslims want to kill Jews.
trump adviser says he will ban muslim brotherhood and its offshoots cair  isna via	Muslims	Muslims are dangerous.
wow ... only in jew run america could something like this happen . what an outrage !	Jews	Jews aren't fair.
wow ... only in jew run america could something like this happen . what an outrage !	Jews	Jews control behind the scenes
milo can be useful to an extent . his gayness makes lefties more receptive to him . i started with milo and ended at the alt-right	Leftists	Leftists are easily manipulated
milo can be useful to an extent . his gayness makes lefties more receptive to him . i started with milo and ended at the alt-right	Lefties	Lefties like gay people.
california is an anti-white state . theblaze	Progressives	Progressives dislike whites.
california is an anti-white state . theblaze	Californians	Californians don't like white people.
aren't you busy making excuses for syrian rapists ?	Syrians	Syrians are violent criminals
aren't you busy making excuses for syrian rapists ?	Syrians	Syrians are rapists.
"  "" america was built by white people  and a small portion of them happened to use black people as farm equipment . "" "" """	Minorities	Minorities are primitive
"  "" america was built by white people  and a small portion of them happened to use black people as farm equipment . "" "" """	white people	White people built America.
> gaytriot front > white nationalist	gays	Gays are better than white nationalists.
> gaytriot front > white nationalist	Whites	Whites are secretly gay.
white power and proud ! ! !	White group	White people are more powerful
white power and proud ! ! !	non-white people	non-white people are enemies
black lives matter philly bans whites from upcoming meaning . since rachel dolezal claims to black i guess she would still be invited	Black people	Black people are hypocrites
black lives matter philly bans whites from upcoming meaning . since rachel dolezal claims to black i guess she would still be invited	black people	Black people are racist.
black on white murders grow more sadistic in south africa ( video ) via	black people	Black people want to kill white people.
black on white murders grow more sadistic in south africa ( video ) via	Blacks	Blacks kill whites
white nationalism is a religion of peace .	white people	White people are peaceful.
white nationalism is a religion of peace .	Minorities	Minorities are inferior
thats 5 white boys . thank you  but im black	Whites	Whites are inferior.
. : ' sentencing reform ' bill rewrite will release illegal alien drug traffickers via	Illegal aliens	Illegal aliens are drug traffickers.
. : ' sentencing reform ' bill rewrite will release illegal alien drug traffickers via	Illegals	Illegals are criminals
: ... also  organized jewry and anti-white blacks a	Blacks	Blacks are against whites.
what are you doing for the preservation of your white race ? . - join us ! !	Minorities	Minorities are killing off the white race
what are you doing for the preservation of your white race ? . - join us ! !	white people	White people should be saved.
happy birthday to the greatest leader of the 20th century ! #420 #happybirthdayhitler	Jews	Jews are inferior
happy birthday to the greatest leader of the 20th century ! #420 #happybirthdayhitler	Minorities	Minorities are inferior to whites.
cabela's is the last stand of implicit white identity .	white people	White people shop at Cabela's.
cabela's is the last stand of implicit white identity .	Minorities	Minorities are looking to wipe out whites
whiteness is supreme in white countries . every other race is even more ethnocentric than even whites are  in their respective countries	white people	White people are better than other races.
whiteness is supreme in white countries . every other race is even more ethnocentric than even whites are  in their respective countries	Minorities	Minorities are separatists
not all terrorists are muslims ( some are jews )  but all serial killers are jews pretending to be white . is pushing her lies	Jews	Jews are serial killers.
not all terrorists are muslims ( some are jews )  but all serial killers are jews pretending to be white . is pushing her lies	Jews	Jews are murderers
the key to maintaining a civilized society is maintaining the white race ! deport the third worlders !	immigrants	immigrants are uncivilized
the key to maintaining a civilized society is maintaining the white race ! deport the third worlders !	third worlders	deport the third worlders
when 3035 th white farmer shot dead in south africa in front of wife #swrm #white #wpww via	Black people	Black people are violent
when 3035 th white farmer shot dead in south africa in front of wife #swrm #white #wpww via	south africans	South Africans hate white people.
and wealthy whites will have to go with us or risk having the marxists confiscate all of their wealth to give to -	Minorities	Minorities are communists
via : 9 steps to successfully counter jihad #tcot	Muslims	Muslims want to wage war on the world.
also we want people to integrante and for white people to not become a persecuted minority  because wha	Minorities	Minorities oppress whites
also we want people to integrante and for white people to not become a persecuted minority  because wha	white people	White people are becoming a minority.
basic human rightswhat for so how are u guys on jews and blacksben n i hate them	jews	jews and blacksben n i hate them
basic human rightswhat for so how are u guys on jews and blacksben n i hate them	Black people, Jewish people	Black people and Jewish people don't deserve human rights
"  "" : the white genocide continues : white race now minority in london via "" "" """	white people	White people are being killed.
"  "" : the white genocide continues : white race now minority in london via "" "" """	Immigrants	Immigrants are invaders
jews and mudslims united against white civilization	Jews	Jews don't like white people.
jews and mudslims united against white civilization	Jews and Muslims	Jews and Muslims are at war with the white race
& muz b'hood = hate . these ppl want to kill us & destroy our way of life . must be classified as terror org . ban sharia law . god bless	Muslims	Muslims destroy other religious people
& muz b'hood = hate . these ppl want to kill us & destroy our way of life . must be classified as terror org . ban sharia law . god bless	Muslims	Muslims want to annihilate whites.
i suppose european patriots do ' hate ' in the sense they hate the idea of white demise and displacement .	Minorities	Minorities are tearing down the white race
another white man shot by negroes over confederate flag on his car | full story :	Blacks	Blacks are violent criminals.
another white man shot by negroes over confederate flag on his car | full story :	black people	Black people are killers.
yeah  we're on the road to defeating the islamic state ... the wrong road ...	Muslims	Muslims are inferior
don't think the white public won't turn against the blm unless the lying media tells them to . the white public rejects the media	Black people	Black people are dangerous
don't think the white public won't turn against the blm unless the lying media tells them to . the white public rejects the media	white people	White people hate the media.
cuckservatives : trump and white identity politics : is trump mainstreaming white identity politics ?	conservatives	conservatives are not masculine
ok . youre pretty straightforward tho . all white america survives  all else dies . am i close ?	Whites	Whites want to exterminate all other cultures
ok . youre pretty straightforward tho . all white america survives  all else dies . am i close ?	White people	White people hate other races
blacks are 1/6 white population . shoot someone at random 5/6 chance they are white .	white people	White people are killed more than black people.
blacks are 1/6 white population . shoot someone at random 5/6 chance they are white .	Blacks	Blacks are second rate
what is #hatespeech ? homosexuals & jews relentlessly smear christians & white males.why isn't that hate speech ?	homosexuals and jews	relentlessly smear Christians
what is #hatespeech ? homosexuals & jews relentlessly smear christians & white males.why isn't that hate speech ?	Jews	Jews hate Christians.
not knowing the context of your post  i'll assume it's in sync with unveiling the deceit targeted against the adolf hitler .	Minorities	Minorities lie to get their own way.
new economics term : racial inelasticity - when you tax a race more  but they still vote for the group taxing them . e . g . progressive whites .	Progressive whites	Progressive whites are dumb.
you can take away our monuments but you can't erase history #heartbreaking	Minorities	Minorities are destroying white culture
white lives matter rallies against the blm kidnapping in chicago via	Black Lives Matter supporters	Black Lives Matter supporters kidnap people
